--- Detection Log Started: 2025-07-16 19:58:04.653123 ---
Video Source: c:\Users\adity\Desktop\OBJDETECT\data\firedata2.mp4
--------------------------------------------------
[2025-07-16 19:58:04.955 | Frame 0] Base and fire YOLO models loaded.
[2025-07-16 19:58:12.622 | Frame 11] Alert cleared: ALERT: FIRE DETECTED!
[2025-07-16 19:58:12.622 | Frame 11] Alert triggered: ALERT: HUMAN DETECTED!
[2025-07-16 19:58:12.622 | Frame 11] Sound alert triggered: HUMAN
[2025-07-16 19:58:12.622 | Frame 11] Sound file not found: human_alert.mp3
[2025-07-16 19:58:13.139 | Frame 12] Detected HUMAN: Person 0.93 at [358,374,541,679] conf: 0.93
[2025-07-16 19:58:13.139 | Frame 12] Detected HUMAN: Person 0.92 at [187,377,371,679] conf: 0.92
[2025-07-16 19:58:13.154 | Frame 12] Detected VEHICLE: Car 0.92 at [1029,509,1213,650] conf: 0.92
[2025-07-16 19:58:13.154 | Frame 12] Detected VEHICLE: Car 0.89 at [816,504,1053,649] conf: 0.89
[2025-07-16 19:58:13.154 | Frame 12] Detected VEHICLE: Truck 0.71 at [582,464,832,646] conf: 0.71
[2025-07-16 19:58:13.678 | Frame 13] Detected HUMAN: Person 0.94 at [359,373,537,678] conf: 0.94
[2025-07-16 19:58:13.678 | Frame 13] Detected HUMAN: Person 0.92 at [188,377,374,679] conf: 0.92
[2025-07-16 19:58:13.678 | Frame 13] Detected VEHICLE: Car 0.92 at [1030,508,1213,649] conf: 0.92
[2025-07-16 19:58:13.678 | Frame 13] Detected VEHICLE: Car 0.89 at [817,502,1054,648] conf: 0.89
[2025-07-16 19:58:13.678 | Frame 13] Detected VEHICLE: Truck 0.86 at [582,463,831,645] conf: 0.86
[2025-07-16 19:58:14.201 | Frame 14] Detected HUMAN: Person 0.93 at [359,371,541,679] conf: 0.93
[2025-07-16 19:58:14.201 | Frame 14] Detected HUMAN: Person 0.92 at [189,377,374,679] conf: 0.92
[2025-07-16 19:58:14.201 | Frame 14] Detected VEHICLE: Car 0.92 at [1030,507,1213,648] conf: 0.92
[2025-07-16 19:58:14.201 | Frame 14] Detected VEHICLE: Car 0.89 at [819,503,1054,647] conf: 0.89
[2025-07-16 19:58:14.201 | Frame 14] Detected VEHICLE: Truck 0.86 at [584,463,831,645] conf: 0.86
[2025-07-16 19:58:14.723 | Frame 15] Detected HUMAN: Person 0.93 at [359,372,540,679] conf: 0.93
[2025-07-16 19:58:14.723 | Frame 15] Detected HUMAN: Person 0.93 at [191,377,375,679] conf: 0.93
[2025-07-16 19:58:14.723 | Frame 15] Detected VEHICLE: Car 0.92 at [1031,506,1213,647] conf: 0.92
[2025-07-16 19:58:14.723 | Frame 15] Detected VEHICLE: Car 0.90 at [822,502,1055,644] conf: 0.90
[2025-07-16 19:58:14.723 | Frame 15] Detected VEHICLE: Truck 0.87 at [584,462,832,644] conf: 0.87
