--- Detection Log Started: 2025-07-16 19:59:17.585359 ---
Video Source: c:\Users\adity\Desktop\OBJDETECT\data\firedata2.mp4
--------------------------------------------------
[2025-07-16 19:59:17.882 | Frame 0] Base and fire YOLO models loaded.
[2025-07-16 19:59:21.496 | Frame 3] Detected FIRE: FIRE 0.31 at [527,98,955,313] conf: 0.31
[2025-07-16 19:59:22.022 | Frame 4] Detected HUMAN: Person 0.92 at [176,387,369,679] conf: 0.92
[2025-07-16 19:59:22.022 | Frame 4] Detected HUMAN: Person 0.91 at [349,383,535,678] conf: 0.91
[2025-07-16 19:59:22.022 | Frame 4] Detected VEHICLE: Car 0.91 at [1026,517,1213,658] conf: 0.91
[2025-07-16 19:59:22.022 | Frame 4] Detected VEHICLE: Truck 0.91 at [579,472,826,658] conf: 0.91
[2025-07-16 19:59:22.022 | Frame 4] Detected VEHICLE: Car 0.89 at [822,513,1051,654] conf: 0.89
[2025-07-16 19:59:22.022 | Frame 4] Detected FIRE: FIRE 0.72 at [271,232,408,287] conf: 0.72
[2025-07-16 19:59:22.569 | Frame 5] Detected HUMAN: Person 0.93 at [350,381,531,679] conf: 0.93
[2025-07-16 19:59:22.570 | Frame 5] Detected VEHICLE: Car 0.92 at [1026,516,1213,657] conf: 0.92
[2025-07-16 19:59:22.570 | Frame 5] Detected HUMAN: Person 0.90 at [176,385,368,679] conf: 0.90
[2025-07-16 19:59:22.570 | Frame 5] Detected VEHICLE: Car 0.90 at [822,514,1052,653] conf: 0.90
[2025-07-16 19:59:22.570 | Frame 5] Detected VEHICLE: Truck 0.89 at [580,472,826,655] conf: 0.89
[2025-07-16 19:59:22.570 | Frame 5] Detected FIRE: FIRE 0.77 at [269,230,416,288] conf: 0.77
[2025-07-16 19:59:22.570 | Frame 5] Detected FIRE: FIRE 0.43 at [632,92,821,306] conf: 0.43
[2025-07-16 19:59:23.105 | Frame 6] Detected HUMAN: Person 0.93 at [181,383,370,679] conf: 0.93
[2025-07-16 19:59:23.105 | Frame 6] Detected HUMAN: Person 0.93 at [352,379,533,680] conf: 0.93
[2025-07-16 19:59:23.105 | Frame 6] Detected VEHICLE: Car 0.91 at [1026,513,1213,655] conf: 0.91
[2025-07-16 19:59:23.105 | Frame 6] Detected VEHICLE: Truck 0.89 at [580,466,827,654] conf: 0.89
[2025-07-16 19:59:23.105 | Frame 6] Detected VEHICLE: Car 0.89 at [823,511,1053,649] conf: 0.89
[2025-07-16 19:59:23.105 | Frame 6] Detected FIRE: FIRE 0.78 at [265,225,433,286] conf: 0.78
[2025-07-16 19:59:23.105 | Frame 6] Detected FIRE: FIRE 0.75 at [667,90,835,284] conf: 0.75
[2025-07-16 19:59:23.105 | Frame 6] Detected FIRE: FIRE 0.44 at [661,84,978,312] conf: 0.44
[2025-07-16 19:59:23.631 | Frame 7] Detected HUMAN: Person 0.93 at [181,383,370,679] conf: 0.93
[2025-07-16 19:59:23.631 | Frame 7] Detected HUMAN: Person 0.93 at [352,379,532,680] conf: 0.93
[2025-07-16 19:59:23.631 | Frame 7] Detected VEHICLE: Car 0.91 at [1026,513,1213,655] conf: 0.91
[2025-07-16 19:59:23.631 | Frame 7] Detected VEHICLE: Truck 0.89 at [580,466,827,654] conf: 0.89
[2025-07-16 19:59:23.631 | Frame 7] Detected VEHICLE: Car 0.89 at [823,511,1053,649] conf: 0.89
[2025-07-16 19:59:23.631 | Frame 7] Detected FIRE: FIRE 0.78 at [265,225,433,286] conf: 0.78
[2025-07-16 19:59:23.631 | Frame 7] Detected FIRE: FIRE 0.76 at [667,90,835,284] conf: 0.76
[2025-07-16 19:59:23.631 | Frame 7] Detected FIRE: FIRE 0.46 at [663,83,979,313] conf: 0.46
[2025-07-16 19:59:24.147 | Frame 8] Detected HUMAN: Person 0.93 at [182,381,371,680] conf: 0.93
[2025-07-16 19:59:24.147 | Frame 8] Detected HUMAN: Person 0.93 at [353,378,537,679] conf: 0.93
[2025-07-16 19:59:24.147 | Frame 8] Detected VEHICLE: Car 0.91 at [1026,512,1213,654] conf: 0.91
[2025-07-16 19:59:24.147 | Frame 8] Detected VEHICLE: Car 0.90 at [823,510,1053,650] conf: 0.90
[2025-07-16 19:59:24.147 | Frame 8] Detected VEHICLE: Truck 0.89 at [580,467,828,653] conf: 0.89
[2025-07-16 19:59:24.147 | Frame 8] Detected FIRE: FIRE 0.79 at [262,223,426,283] conf: 0.79
[2025-07-16 19:59:24.147 | Frame 8] Detected FIRE: FIRE 0.78 at [658,82,838,275] conf: 0.78
[2025-07-16 19:59:24.147 | Frame 8] Detected FIRE: FIRE 0.41 at [658,78,973,309] conf: 0.41
[2025-07-16 19:59:24.664 | Frame 9] Detected HUMAN: Person 0.93 at [355,375,539,680] conf: 0.93
[2025-07-16 19:59:24.664 | Frame 9] Detected HUMAN: Person 0.93 at [185,380,371,679] conf: 0.93
[2025-07-16 19:59:24.664 | Frame 9] Detected VEHICLE: Car 0.91 at [1027,510,1213,652] conf: 0.91
[2025-07-16 19:59:24.664 | Frame 9] Detected VEHICLE: Car 0.89 at [823,507,1053,644] conf: 0.89
[2025-07-16 19:59:24.664 | Frame 9] Detected VEHICLE: Truck 0.87 at [581,465,830,651] conf: 0.87
[2025-07-16 19:59:24.664 | Frame 9] Detected FIRE: FIRE 0.80 at [262,220,424,281] conf: 0.80
[2025-07-16 19:59:24.664 | Frame 9] Detected FIRE: FIRE 0.61 at [701,143,832,265] conf: 0.61
[2025-07-16 19:59:24.664 | Frame 9] Detected FIRE: FIRE 0.52 at [698,96,839,267] conf: 0.52
[2025-07-16 19:59:25.195 | Frame 10] Detected HUMAN: Person 0.93 at [355,375,539,680] conf: 0.93
[2025-07-16 19:59:25.195 | Frame 10] Detected HUMAN: Person 0.93 at [185,380,371,679] conf: 0.93
[2025-07-16 19:59:25.195 | Frame 10] Detected VEHICLE: Car 0.91 at [1027,510,1213,652] conf: 0.91
[2025-07-16 19:59:25.195 | Frame 10] Detected VEHICLE: Car 0.89 at [823,507,1053,644] conf: 0.89
[2025-07-16 19:59:25.195 | Frame 10] Detected VEHICLE: Truck 0.87 at [581,465,830,651] conf: 0.87
[2025-07-16 19:59:25.195 | Frame 10] Detected FIRE: FIRE 0.80 at [262,219,426,282] conf: 0.80
[2025-07-16 19:59:25.195 | Frame 10] Detected FIRE: FIRE 0.61 at [700,137,833,265] conf: 0.61
[2025-07-16 19:59:25.195 | Frame 10] Detected FIRE: FIRE 0.52 at [698,91,840,267] conf: 0.52
[2025-07-16 19:59:25.712 | Frame 11] Detected HUMAN: Person 0.93 at [356,374,542,680] conf: 0.93
[2025-07-16 19:59:25.712 | Frame 11] Detected HUMAN: Person 0.92 at [186,379,364,679] conf: 0.92
[2025-07-16 19:59:25.712 | Frame 11] Detected VEHICLE: Car 0.91 at [1028,509,1213,650] conf: 0.91
[2025-07-16 19:59:25.712 | Frame 11] Detected VEHICLE: Car 0.90 at [823,506,1054,643] conf: 0.90
[2025-07-16 19:59:25.712 | Frame 11] Detected VEHICLE: Truck 0.88 at [581,464,830,648] conf: 0.88
[2025-07-16 19:59:25.712 | Frame 11] Detected FIRE: FIRE 0.81 at [259,217,431,281] conf: 0.81
[2025-07-16 19:59:25.712 | Frame 11] Detected FIRE: FIRE 0.47 at [714,189,845,260] conf: 0.47
[2025-07-16 19:59:26.229 | Frame 12] Detected HUMAN: Person 0.93 at [188,378,369,679] conf: 0.93
[2025-07-16 19:59:26.229 | Frame 12] Detected HUMAN: Person 0.92 at [356,373,541,680] conf: 0.92
[2025-07-16 19:59:26.229 | Frame 12] Detected VEHICLE: Car 0.91 at [1027,509,1213,651] conf: 0.91
[2025-07-16 19:59:26.230 | Frame 12] Detected VEHICLE: Car 0.89 at [824,504,1054,644] conf: 0.89
[2025-07-16 19:59:26.230 | Frame 12] Detected VEHICLE: Truck 0.85 at [582,462,831,647] conf: 0.85
[2025-07-16 19:59:26.230 | Frame 12] Detected FIRE: FIRE 0.78 at [258,214,426,279] conf: 0.78
[2025-07-16 19:59:26.230 | Frame 12] Detected FIRE: FIRE 0.65 at [728,182,828,260] conf: 0.65
[2025-07-16 19:59:26.748 | Frame 13] Detected HUMAN: Person 0.93 at [189,378,374,679] conf: 0.93
[2025-07-16 19:59:26.748 | Frame 13] Detected VEHICLE: Car 0.90 at [1031,508,1213,651] conf: 0.90
[2025-07-16 19:59:26.748 | Frame 13] Detected HUMAN: Person 0.90 at [356,373,539,679] conf: 0.90
[2025-07-16 19:59:26.748 | Frame 13] Detected VEHICLE: Car 0.89 at [824,504,1054,643] conf: 0.89
[2025-07-16 19:59:26.748 | Frame 13] Detected VEHICLE: Truck 0.88 at [583,462,831,645] conf: 0.88
[2025-07-16 19:59:26.748 | Frame 13] Detected FIRE: FIRE 0.78 at [259,208,427,278] conf: 0.78
[2025-07-16 19:59:26.748 | Frame 13] Detected FIRE: FIRE 0.69 at [734,176,827,264] conf: 0.69
[2025-07-16 19:59:27.268 | Frame 14] Detected HUMAN: Person 0.93 at [190,377,374,679] conf: 0.93
[2025-07-16 19:59:27.268 | Frame 14] Detected VEHICLE: Car 0.91 at [1032,507,1213,650] conf: 0.91
[2025-07-16 19:59:27.268 | Frame 14] Detected VEHICLE: Car 0.89 at [824,504,1055,643] conf: 0.89
[2025-07-16 19:59:27.268 | Frame 14] Detected HUMAN: Person 0.87 at [359,372,543,677] conf: 0.87
[2025-07-16 19:59:27.268 | Frame 14] Detected VEHICLE: Truck 0.87 at [585,461,831,645] conf: 0.87
[2025-07-16 19:59:27.268 | Frame 14] Detected VEHICLE: Motorcycle 0.51 at [388,532,520,681] conf: 0.51
[2025-07-16 19:59:27.268 | Frame 14] Detected FIRE: FIRE 0.77 at [254,200,446,278] conf: 0.77
[2025-07-16 19:59:27.268 | Frame 14] Detected FIRE: FIRE 0.64 at [734,179,819,264] conf: 0.64
[2025-07-16 19:59:27.780 | Frame 15] Detected HUMAN: Person 0.93 at [191,377,375,679] conf: 0.93
[2025-07-16 19:59:27.780 | Frame 15] Detected HUMAN: Person 0.91 at [358,371,547,679] conf: 0.91
[2025-07-16 19:59:27.780 | Frame 15] Detected VEHICLE: Car 0.90 at [1030,506,1213,649] conf: 0.90
[2025-07-16 19:59:27.780 | Frame 15] Detected VEHICLE: Car 0.90 at [825,504,1055,641] conf: 0.90
[2025-07-16 19:59:27.780 | Frame 15] Detected VEHICLE: Truck 0.90 at [584,459,832,644] conf: 0.90
[2025-07-16 19:59:27.780 | Frame 15] Detected FIRE: FIRE 0.75 at [257,197,452,277] conf: 0.75
[2025-07-16 19:59:27.780 | Frame 15] Detected FIRE: FIRE 0.36 at [740,185,820,265] conf: 0.36
[2025-07-16 19:59:28.289 | Frame 16] Detected HUMAN: Person 0.93 at [193,375,375,679] conf: 0.93
[2025-07-16 19:59:28.290 | Frame 16] Detected HUMAN: Person 0.93 at [360,371,540,679] conf: 0.93
[2025-07-16 19:59:28.290 | Frame 16] Detected VEHICLE: Car 0.90 at [1029,505,1213,647] conf: 0.90
[2025-07-16 19:59:28.290 | Frame 16] Detected VEHICLE: Car 0.89 at [826,503,1056,638] conf: 0.89
[2025-07-16 19:59:28.290 | Frame 16] Detected VEHICLE: Truck 0.89 at [584,458,833,643] conf: 0.89
[2025-07-16 19:59:28.290 | Frame 16] Detected FIRE: FIRE 0.79 at [265,185,422,272] conf: 0.79
[2025-07-16 19:59:28.290 | Frame 16] Detected FIRE: FIRE 0.56 at [721,183,826,256] conf: 0.56
[2025-07-16 19:59:28.811 | Frame 17] Detected HUMAN: Person 0.93 at [193,375,376,679] conf: 0.93
[2025-07-16 19:59:28.811 | Frame 17] Detected HUMAN: Person 0.93 at [360,371,540,679] conf: 0.93
[2025-07-16 19:59:28.811 | Frame 17] Detected VEHICLE: Car 0.90 at [1029,505,1213,647] conf: 0.90
[2025-07-16 19:59:28.811 | Frame 17] Detected VEHICLE: Car 0.89 at [826,503,1055,639] conf: 0.89
[2025-07-16 19:59:28.811 | Frame 17] Detected VEHICLE: Truck 0.89 at [584,459,833,642] conf: 0.89
[2025-07-16 19:59:28.811 | Frame 17] Detected FIRE: FIRE 0.81 at [267,186,427,273] conf: 0.81
[2025-07-16 19:59:28.811 | Frame 17] Detected FIRE: FIRE 0.59 at [721,183,825,257] conf: 0.59
[2025-07-16 19:59:29.325 | Frame 18] Detected HUMAN: Person 0.93 at [194,375,376,679] conf: 0.93
[2025-07-16 19:59:29.325 | Frame 18] Detected HUMAN: Person 0.92 at [360,370,540,679] conf: 0.92
[2025-07-16 19:59:29.326 | Frame 18] Detected VEHICLE: Car 0.90 at [1028,504,1213,646] conf: 0.90
[2025-07-16 19:59:29.326 | Frame 18] Detected VEHICLE: Car 0.90 at [827,502,1055,639] conf: 0.90
[2025-07-16 19:59:29.326 | Frame 18] Detected VEHICLE: Truck 0.89 at [584,459,833,640] conf: 0.89
[2025-07-16 19:59:29.326 | Frame 18] Detected FIRE: FIRE 0.74 at [270,184,430,268] conf: 0.74
[2025-07-16 19:59:29.326 | Frame 18] Detected FIRE: FIRE 0.52 at [722,175,823,253] conf: 0.52
[2025-07-16 19:59:29.846 | Frame 19] Detected HUMAN: Person 0.93 at [196,375,376,679] conf: 0.93
[2025-07-16 19:59:29.846 | Frame 19] Detected HUMAN: Person 0.92 at [361,369,543,679] conf: 0.92
[2025-07-16 19:59:29.847 | Frame 19] Detected VEHICLE: Car 0.90 at [1029,504,1213,644] conf: 0.90
[2025-07-16 19:59:29.847 | Frame 19] Detected VEHICLE: Truck 0.90 at [585,458,833,640] conf: 0.90
[2025-07-16 19:59:29.847 | Frame 19] Detected VEHICLE: Car 0.89 at [827,501,1054,638] conf: 0.89
[2025-07-16 19:59:29.847 | Frame 19] Detected FIRE: FIRE 0.75 at [269,189,434,269] conf: 0.75
[2025-07-16 19:59:29.847 | Frame 19] Detected FIRE: FIRE 0.61 at [726,168,818,252] conf: 0.61
[2025-07-16 19:59:30.368 | Frame 20] Detected HUMAN: Person 0.93 at [196,374,377,679] conf: 0.93
[2025-07-16 19:59:30.368 | Frame 20] Detected HUMAN: Person 0.92 at [363,369,544,680] conf: 0.92
[2025-07-16 19:59:30.368 | Frame 20] Detected VEHICLE: Car 0.89 at [1031,503,1213,643] conf: 0.89
[2025-07-16 19:59:30.368 | Frame 20] Detected VEHICLE: Car 0.89 at [828,501,1055,636] conf: 0.89
[2025-07-16 19:59:30.369 | Frame 20] Detected VEHICLE: Truck 0.86 at [587,457,833,639] conf: 0.86
[2025-07-16 19:59:30.369 | Frame 20] Detected FIRE: FIRE 0.69 at [271,192,453,271] conf: 0.69
[2025-07-16 19:59:30.369 | Frame 20] Detected FIRE: FIRE 0.43 at [624,155,828,250] conf: 0.43
[2025-07-16 19:59:30.369 | Frame 20] Detected FIRE: FIRE 0.38 at [925,273,977,312] conf: 0.38
[2025-07-16 19:59:30.900 | Frame 21] Detected HUMAN: Person 0.93 at [198,374,378,679] conf: 0.93
[2025-07-16 19:59:30.900 | Frame 21] Detected HUMAN: Person 0.93 at [363,367,542,679] conf: 0.93
[2025-07-16 19:59:30.900 | Frame 21] Detected VEHICLE: Car 0.90 at [829,500,1056,639] conf: 0.90
[2025-07-16 19:59:30.900 | Frame 21] Detected VEHICLE: Truck 0.89 at [587,456,834,638] conf: 0.89
[2025-07-16 19:59:30.900 | Frame 21] Detected VEHICLE: Car 0.89 at [1031,503,1213,642] conf: 0.89
[2025-07-16 19:59:30.901 | Frame 21] Detected FIRE: FIRE 0.76 at [279,181,465,270] conf: 0.76
[2025-07-16 19:59:30.901 | Frame 21] Detected FIRE: FIRE 0.67 at [686,155,821,250] conf: 0.67
[2025-07-16 19:59:30.901 | Frame 21] Detected FIRE: FIRE 0.46 at [639,152,829,255] conf: 0.46
[2025-07-16 19:59:31.442 | Frame 22] Detected HUMAN: Person 0.93 at [198,374,378,679] conf: 0.93
[2025-07-16 19:59:31.442 | Frame 22] Detected HUMAN: Person 0.93 at [363,367,542,679] conf: 0.93
[2025-07-16 19:59:31.442 | Frame 22] Detected VEHICLE: Car 0.90 at [829,500,1056,639] conf: 0.90
[2025-07-16 19:59:31.442 | Frame 22] Detected VEHICLE: Car 0.89 at [1031,503,1213,642] conf: 0.89
[2025-07-16 19:59:31.442 | Frame 22] Detected VEHICLE: Truck 0.89 at [587,456,834,638] conf: 0.89
[2025-07-16 19:59:31.442 | Frame 22] Detected FIRE: FIRE 0.77 at [279,181,465,270] conf: 0.77
[2025-07-16 19:59:31.442 | Frame 22] Detected FIRE: FIRE 0.68 at [687,155,820,249] conf: 0.68
[2025-07-16 19:59:31.442 | Frame 22] Detected FIRE: FIRE 0.46 at [644,152,828,254] conf: 0.46
[2025-07-16 19:59:31.983 | Frame 23] Detected HUMAN: Person 0.93 at [198,373,378,679] conf: 0.93
[2025-07-16 19:59:31.983 | Frame 23] Detected HUMAN: Person 0.92 at [363,366,545,680] conf: 0.92
[2025-07-16 19:59:31.983 | Frame 23] Detected VEHICLE: Car 0.90 at [830,499,1056,638] conf: 0.90
[2025-07-16 19:59:31.984 | Frame 23] Detected VEHICLE: Car 0.89 at [1031,502,1213,641] conf: 0.89
[2025-07-16 19:59:31.984 | Frame 23] Detected VEHICLE: Truck 0.87 at [587,457,834,638] conf: 0.87
[2025-07-16 19:59:31.984 | Frame 23] Detected FIRE: FIRE 0.76 at [277,176,470,270] conf: 0.76
[2025-07-16 19:59:31.984 | Frame 23] Detected FIRE: FIRE 0.45 at [655,145,827,262] conf: 0.45
[2025-07-16 19:59:32.529 | Frame 24] Detected HUMAN: Person 0.94 at [198,373,378,679] conf: 0.94
[2025-07-16 19:59:32.530 | Frame 24] Detected HUMAN: Person 0.92 at [363,366,551,680] conf: 0.92
[2025-07-16 19:59:32.530 | Frame 24] Detected VEHICLE: Car 0.90 at [830,499,1057,638] conf: 0.90
[2025-07-16 19:59:32.530 | Frame 24] Detected VEHICLE: Car 0.89 at [1032,502,1213,639] conf: 0.89
[2025-07-16 19:59:32.530 | Frame 24] Detected VEHICLE: Truck 0.84 at [587,455,834,638] conf: 0.84
[2025-07-16 19:59:32.530 | Frame 24] Detected FIRE: FIRE 0.71 at [288,194,465,273] conf: 0.71
[2025-07-16 19:59:32.530 | Frame 24] Detected FIRE: FIRE 0.59 at [667,143,822,242] conf: 0.59
[2025-07-16 19:59:33.056 | Frame 25] Detected HUMAN: Person 0.94 at [198,373,378,679] conf: 0.94
[2025-07-16 19:59:33.056 | Frame 25] Detected HUMAN: Person 0.92 at [363,366,551,679] conf: 0.92
[2025-07-16 19:59:33.057 | Frame 25] Detected VEHICLE: Car 0.90 at [1032,502,1213,639] conf: 0.90
[2025-07-16 19:59:33.057 | Frame 25] Detected VEHICLE: Car 0.90 at [830,499,1057,638] conf: 0.90
[2025-07-16 19:59:33.057 | Frame 25] Detected VEHICLE: Truck 0.83 at [587,455,834,638] conf: 0.83
[2025-07-16 19:59:33.057 | Frame 25] Detected FIRE: FIRE 0.73 at [288,193,466,273] conf: 0.73
[2025-07-16 19:59:33.057 | Frame 25] Detected FIRE: FIRE 0.58 at [667,143,822,242] conf: 0.58
[2025-07-16 19:59:33.587 | Frame 26] Detected HUMAN: Person 0.93 at [198,373,378,678] conf: 0.93
[2025-07-16 19:59:33.587 | Frame 26] Detected HUMAN: Person 0.91 at [364,365,552,679] conf: 0.91
[2025-07-16 19:59:33.587 | Frame 26] Detected VEHICLE: Car 0.91 at [1031,501,1213,638] conf: 0.91
[2025-07-16 19:59:33.587 | Frame 26] Detected VEHICLE: Car 0.90 at [830,498,1057,636] conf: 0.90
[2025-07-16 19:59:33.587 | Frame 26] Detected VEHICLE: Truck 0.86 at [588,455,834,638] conf: 0.86
[2025-07-16 19:59:33.587 | Frame 26] Detected FIRE: FIRE 0.74 at [287,185,447,271] conf: 0.74
[2025-07-16 19:59:33.587 | Frame 26] Detected FIRE: FIRE 0.60 at [655,133,822,233] conf: 0.60
[2025-07-16 19:59:33.588 | Frame 26] Detected FIRE: FIRE 0.35 at [626,133,959,315] conf: 0.35
